Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R1	17593993	6645238	17593993	2639098950	2593793	2617429040	0.8211101747435426
20210608T1400_CBASS_US_MoteIn_Past_7_39_420_RNASeq_R2	17593993	6621290	17593993	2639098950	3291035	2617176678	0.8306726051328996
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R1	25168994	9474037	25168994	3775349100	5006507	3737737689	0.9962366394143524
20210608T1400_CBASS_US_MoteIn_Past_7_39_750_RNASeq_R2	25168994	9361028	25168994	3775349100	6969405	3736156644	1.038114753414459
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R1	19151594	7294839	19151594	2872739100	1904208	2744871916	4.451054535373574
20210608T1400_CBASS_US_MoteIn_Past_7_T0_0_RNASeq_R2	19151594	7297976	19151594	2872739100	2924422	2744376309	4.468306606750331
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R1	23315208	7986163	23315208	3497281200	2229299	3465819524	0.8996038408349891
20210608T1400_CBASS_US_MoteIn_Past_7_only_seq_RNASeq_R2	23315208	7992155	23315208	3497281200	3209856	3465027756	0.9222433700784483
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R1	21600957	7426369	21600957	3240143550	2236054	3222973782	0.5299076332590265
20210608T1400_CBASS_US_MoteIn_Past_8_30_1140_RNASeq_R2	21600957	7388827	21600957	3240143550	3230861	3222136712	0.5557419824809923
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R1	18855104	6757446	18855104	2828265600	1521135	2741670548	3.0617722748528284
20210608T1400_CBASS_US_MoteIn_Past_8_30_180_RNASeq_R2	18855104	6769646	18855104	2828265600	2377045	2740993949	3.085695028076571
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R1	17716982	6001017	17716982	2657547300	1483000	2641301021	0.6113260524093024
20210608T1400_CBASS_US_MoteIn_Past_8_30_360_RNASeq_R2	17716982	6006318	17716982	2657547300	2217582	2640551666	0.6395232927745068
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R1	15815209	5506936	15815209	2372281350	1094975	2354364069	0.7552763924902921
20210608T1400_CBASS_US_MoteIn_Past_8_30_420_RNASeq_R2	15815209	5474681	15815209	2372281350	1366652	2353938560	0.7732130929579664
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R1	18018591	6115412	18018591	2702788650	1202382	2682471663	0.7517046144174092
20210608T1400_CBASS_US_MoteIn_Past_8_30_750_RNASeq_R2	18018591	6095305	18018591	2702788650	1886235	2681959023	0.7706716912548822
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R1	34016451	11275790	34016451	5102467650	2605850	5071837738	0.6002960547922337
20210608T1400_CBASS_US_MoteIn_Past_8_34_1140_RNASeq_R2	34016451	11234617	34016451	5102467650	4293628	5071149603	0.6137823725349831
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R1	15777523	8904655	15777523	2366628450	841328	1712646528	27.633485180151535
20210608T1400_CBASS_US_MoteIn_Past_8_34_180_RNASeq_R2	15777523	8903607	15777523	2366628450	2426835	1712324092	27.647109456492842
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R1	16407876	5493303	16407876	2461181400	1359237	2445230475	0.6481003391298179
20210608T1400_CBASS_US_MoteIn_Past_8_34_360_RNASeq_R2	16407876	5507313	16407876	2461181400	2332111	2444480136	0.6785872833266171
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R1	15972601	5621923	15972601	2395890150	1151945	2372563904	0.973594135774547
20210608T1400_CBASS_US_MoteIn_Past_8_34_420_RNASeq_R2	15972601	5602591	15972601	2395890150	1675754	2372262232	0.9861853641328254
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R1	23557706	7810631	23557706	3533655900	1552689	3514625095	0.5385585223507473
20210608T1400_CBASS_US_MoteIn_Past_8_34_750_RNASeq_R2	23557706	7780885	23557706	3533655900	2232363	3514163800	0.5516128494571302
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R1	17805877	6122307	17805877	2670881550	3597292	2643278357	1.0334862285450286
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R2	17805877	6104923	17805877	2670881550	3060052	2644174448	0.9999358451519499
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R1	15254731	5469446	15254731	2288209650	1185926	2229944138	2.5463362590049385
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R2	15254731	5481111	15254731	2288209650	1804584	2229551130	2.563511608300402
